#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.02e+06  |3868184920|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.63394120|  PASSED  
          sts_serial|   2|    100000|     100|0.49340789|  PASSED  
          sts_serial|   3|    100000|     100|0.49496478|  PASSED  
          sts_serial|   3|    100000|     100|0.88050615|  PASSED  
          sts_serial|   4|    100000|     100|0.54082663|  PASSED  
          sts_serial|   4|    100000|     100|0.95726976|  PASSED  
          sts_serial|   5|    100000|     100|0.40145823|  PASSED  
          sts_serial|   5|    100000|     100|0.79913648|  PASSED  
          sts_serial|   6|    100000|     100|0.89429493|  PASSED  
          sts_serial|   6|    100000|     100|0.84969096|  PASSED  
          sts_serial|   7|    100000|     100|0.80306719|  PASSED  
          sts_serial|   7|    100000|     100|0.41737980|  PASSED  
          sts_serial|   8|    100000|     100|0.98607477|  PASSED  
          sts_serial|   8|    100000|     100|0.97421389|  PASSED  
          sts_serial|   9|    100000|     100|0.85687061|  PASSED  
          sts_serial|   9|    100000|     100|0.69105023|  PASSED  
          sts_serial|  10|    100000|     100|0.62777591|  PASSED  
          sts_serial|  10|    100000|     100|0.00712561|  PASSED  
          sts_serial|  11|    100000|     100|0.38565613|  PASSED  
          sts_serial|  11|    100000|     100|0.97116615|  PASSED  
          sts_serial|  12|    100000|     100|0.23882615|  PASSED  
          sts_serial|  12|    100000|     100|0.67178524|  PASSED  
          sts_serial|  13|    100000|     100|0.30778545|  PASSED  
          sts_serial|  13|    100000|     100|0.93389671|  PASSED  
          sts_serial|  14|    100000|     100|0.27317714|  PASSED  
          sts_serial|  14|    100000|     100|0.41921286|  PASSED  
          sts_serial|  15|    100000|     100|0.48425871|  PASSED  
          sts_serial|  15|    100000|     100|0.84353485|  PASSED  
          sts_serial|  16|    100000|     100|0.03760876|  PASSED  
          sts_serial|  16|    100000|     100|0.26358461|  PASSED  
